ticker,quarter,next_quarter,ret_nextq,peer_median_nextq,peer_gap_price_nextq
DASH,2021Q4,2022Q1,-0.212961719274681,-0.01990341497067949,-0.1930583043040015
DASH,2022Q1,2022Q2,-0.4524276815427938,0.00840439287058703,-0.4608320744133808
DASH,2022Q2,2022Q3,-0.22939068100358417,-0.2424081963887198,0.013017515385135625
DASH,2022Q3,2022Q4,-0.012740141557128437,0.05512068277555637,-0.06786082433268481
DASH,2022Q4,2023Q1,0.3019254403932814,0.04562737642585546,0.25629806396742594
DASH,2023Q1,2023Q2,0.20232850849590944,-0.04371303677037808,0.24604154526628752
DASH,2023Q2,2023Q3,0.039911018058099934,-0.05830721003134798,0.09821822808944791
DASH,2023Q3,2023Q4,0.244368944255694,0.11717709720372849,0.1271918470519655
DASH,2023Q4,2024Q1,0.39265850945494996,0.04886769964243154,0.3437908098125184
DASH,2024Q1,2024Q2,-0.21013650885855362,-0.01715919923736886,-0.19297730962118476
DASH,2024Q2,2024Q3,0.31209781209781196,0.08899127061105716,0.2231065414867548
DASH,2024Q3,2024Q4,0.17529601345197232,0.03499999999999992,0.1402960134519724
DASH,2024Q4,2025Q1,0.08953800298062609,0.13428357089272303,-0.04474556791209694
DASH,2025Q1,2025Q2,0.34874432346665185,-0.03279132791327921,0.38153565137993106
DASH,2025Q2,2025Q3,0.06587968033751168,-0.00352556031226392,0.0694052406497756
DIS,2020Q3,2020Q4,0.46018697614442305,0.08287443563767172,0.37731254050675134
DIS,2020Q4,2021Q1,0.01843470581741924,0.0003640416884029829,0.018070664129016256
DIS,2021Q1,2021Q2,-0.04742033383915023,0.05857825845407372,-0.10599859229322395
DIS,2021Q2,2021Q3,-0.03754906980713446,-0.025235851782226648,-0.012313218024907813
DIS,2021Q3,2021Q4,-0.08441212981025004,-0.09220413274890416,0.007792002938654119
DIS,2021Q4,2022Q1,-0.11446833236490406,-0.01990341497067949,-0.09456491739422457
DIS,2022Q1,2022Q2,-0.3117526975794692,0.00840439287058703,-0.32015709045005625
DIS,2022Q2,2022Q3,-0.0007415254237288504,-0.2424081963887198,0.24166667096499095
DIS,2022Q3,2022Q4,-0.0789780557616877,0.05512068277555637,-0.13409873853724408
DIS,2022Q4,2023Q1,0.15250920810313073,0.04562737642585546,0.10688183167727527
DIS,2023Q1,2023Q2,-0.1083591331269349,-0.04101077050538526,-0.06734836262154964
DIS,2023Q2,2023Q3,-0.09218189964157708,0.008279337652987717,-0.1004612372945648
DIS,2023Q3,2023Q4,0.11400370141887728,0.14480542663334517,-0.03080172521446789
DIS,2023Q4,2024Q1,0.3551888359729758,0.04886769964243154,0.30632113633054425
DIS,2024Q1,2024Q2,-0.18854200719189274,-0.01715919923736886,-0.17138280795452387
DIS,2024Q2,2024Q3,-0.031221673884580636,0.15122972265829415,-0.1824513965428748
DIS,2024Q3,2024Q4,0.15760474061752783,0.03499999999999992,0.12260474061752791
DIS,2024Q4,2025Q1,-0.11360574764256837,0.13428357089272303,-0.2478893185352914
DIS,2025Q1,2025Q2,0.25643363728470114,-0.03279132791327921,0.28922496519798035
DIS,2025Q2,2025Q3,-0.09233126360777355,-0.00254217702796411,-0.08978908657980944
T,2021Q3,2021Q4,-0.07155743917671054,-0.09220413274890416,0.02064669357219362
T,2021Q4,2022Q1,-0.01990341497067949,-0.06514002280176134,0.045236607831081854
T,2022Q1,2022Q2,0.1921479604406433,-0.1571642370640569,0.3493121975047002
T,2022Q2,2022Q3,-0.2583806923020149,-0.22939068100358417,-0.028990011298430707
T,2022Q3,2022Q4,0.22144596378787584,0.04345233658791092,0.17799362719996492
T,2022Q4,2023Q1,0.04562737642585546,0.08407206176722903,-0.038444685341373575
T,2023Q1,2023Q2,-0.17142857142857149,-0.04101077050538526,-0.13041780092318622
T,2023Q2,2023Q3,-0.05830721003134798,0.008279337652987717,-0.0665865476843357
T,2023Q3,2023Q4,0.11717709720372849,0.14480542663334517,-0.027628329429616683
T,2023Q4,2024Q1,0.04886769964243154,0.11299734748010604,-0.0641296478376745
T,2024Q1,2024Q2,0.08579545454545445,-0.09665513264129189,0.18245058718674634
T,2024Q2,2024Q3,0.15122972265829415,0.08899127061105716,0.06223845204723699
T,2024Q3,2024Q4,0.03499999999999992,0.06963558829230454,-0.03463558829230462
T,2024Q4,2025Q1,0.24198506807202458,0.08953800298062609,0.1524470650913985
T,2025Q1,2025Q2,0.023338048090523422,-0.03279132791327921,0.056129376003802633
T,2025Q2,2025Q3,-0.0006910850034553828,-0.00352556031226392,0.0028344753088085373
TMUS,2020Q3,2020Q4,0.17917103882476382,0.08287443563767172,0.0962966031870921
TMUS,2020Q4,2021Q1,-0.07089358546533175,0.01843470581741924,-0.089328291282751
TMUS,2021Q1,2021Q2,0.15595817702929216,-0.02610767210654663,0.1820658491358388
TMUS,2021Q2,2021Q3,-0.11786232134226338,-0.025235851782226648,-0.09262646956003673
TMUS,2021Q3,2021Q4,-0.09220413274890416,-0.08441212981025004,-0.007792002938654119
TMUS,2021Q4,2022Q1,0.10665632005518177,-0.06514002280176134,0.17179634285694312
TMUS,2022Q1,2022Q2,0.04822750292169853,-0.1571642370640569,0.20539173998575544
TMUS,2022Q2,2022Q3,-0.0027501114910064572,-0.2424081963887198,0.23965808489771334
TMUS,2022Q3,2022Q4,0.04345233658791092,0.05512068277555637,-0.01166834618764545
TMUS,2022Q4,2023Q1,0.0345714285714287,0.08407206176722903,-0.049500633195800336
TMUS,2023Q1,2023Q2,-0.04101077050538526,-0.04371303677037808,0.002702266264992814
TMUS,2023Q2,2023Q3,0.008279337652987717,-0.05830721003134798,0.0665865476843357
TMUS,2023Q3,2023Q4,0.14480542663334517,0.11717709720372849,0.027628329429616683
TMUS,2023Q4,2024Q1,0.018025322771783037,0.11299734748010604,-0.094972024708323
TMUS,2024Q1,2024Q2,0.07940203406445301,-0.09665513264129189,0.1760571667057449
TMUS,2024Q2,2024Q3,0.1713020774208196,0.08899127061105716,0.08231080680976244
TMUS,2024Q3,2024Q4,0.06963558829230454,0.03499999999999992,0.03463558829230462
TMUS,2024Q4,2025Q1,0.20830879354867937,0.08953800298062609,0.11877079056805329
TMUS,2025Q1,2025Q2,-0.10667016609800906,0.023338048090523422,-0.13000821418853248
TMUS,2025Q2,2025Q3,-0.00352556031226392,-0.00254217702796411,-0.0009833832842998103
VZ,2023Q1,2023Q2,-0.04371303677037808,-0.04101077050538526,-0.002702266264992814
VZ,2023Q2,2023Q3,-0.1285291745092767,0.008279337652987717,-0.13680851216226442
VZ,2023Q3,2023Q4,0.16322122801604455,0.11717709720372849,0.046044130812316064
VZ,2023Q4,2024Q1,0.11299734748010604,0.04886769964243154,0.0641296478376745
VZ,2024Q1,2024Q2,-0.01715919923736886,-0.09665513264129189,0.07949593340392302
VZ,2024Q2,2024Q3,0.08899127061105716,0.15122972265829415,-0.06223845204723699
VZ,2024Q3,2024Q4,-0.10955243820975269,0.06963558829230454,-0.17918802650205723
VZ,2024Q4,2025Q1,0.13428357089272303,0.08953800298062609,0.04474556791209694
VZ,2025Q1,2025Q2,-0.046075837742504344,0.023338048090523422,-0.06941388583302777
VZ,2025Q2,2025Q3,-0.00254217702796411,-0.00352556031226392,0.0009833832842998103
