ticker,quarter,ev_usd
TMUS,2018Q3,
TMUS,2018Q4,
TMUS,2019Q1,
TMUS,2019Q2,
TMUS,2019Q3,
TMUS,2019Q4,
TMUS,2020Q1,
TMUS,2020Q2,
TMUS,2020Q3,
TMUS,2020Q4,
TMUS,2021Q1,
TMUS,2021Q2,
TMUS,2021Q3,
TMUS,2021Q4,
TMUS,2022Q1,
TMUS,2022Q2,
TMUS,2022Q3,
TMUS,2022Q4,
TMUS,2023Q1,
TMUS,2023Q2,
TMUS,2023Q3,
TMUS,2023Q4,
TMUS,2024Q1,189655783372.30078
TMUS,2024Q2,311195893995.3613
TMUS,2024Q3,343793420230.5996
TMUS,2024Q4,362464456816.625
TMUS,2025Q1,411235077555.5
TMUS,2025Q2,377183154170.89453
TMUS,2025Q3,267959998992.01904
CMCSA,2017Q3,
CMCSA,2017Q4,
CMCSA,2018Q1,
CMCSA,2018Q2,
CMCSA,2018Q3,
CMCSA,2018Q4,
CMCSA,2019Q1,
CMCSA,2019Q2,
CMCSA,2019Q3,
CMCSA,2019Q4,
CMCSA,2020Q1,
CMCSA,2020Q2,
CMCSA,2020Q3,
CMCSA,2020Q4,
CMCSA,2021Q1,
CMCSA,2021Q2,
CMCSA,2021Q3,
CMCSA,2021Q4,
CMCSA,2022Q1,
CMCSA,2022Q2,
CMCSA,2022Q3,
CMCSA,2022Q4,
CMCSA,2023Q1,
CMCSA,2023Q2,
CMCSA,2023Q3,
CMCSA,2023Q4,
CMCSA,2024Q1,163864223561.54297
CMCSA,2024Q2,239371508247.6172
CMCSA,2024Q3,248518010508.71484
CMCSA,2024Q4,231621839082.3496
CMCSA,2025Q1,227196789715.36914
CMCSA,2025Q2,223886343907.20312
CMCSA,2025Q3,116267581902.901
DASH,2020Q4,
DASH,2021Q1,
DASH,2021Q2,
DASH,2021Q3,
DASH,2021Q4,
DASH,2022Q1,
DASH,2022Q2,
DASH,2022Q3,
DASH,2022Q4,
DASH,2023Q1,
DASH,2023Q2,
DASH,2023Q3,
DASH,2023Q4,
DASH,2024Q1,55639431373.168945
DASH,2024Q2,41585662680.35742
DASH,2024Q3,55607244029.86719
DASH,2024Q4,66199679000.0
DASH,2025Q1,72352853328.52539
DASH,2025Q2,102019545569.83594
DASH,2025Q3,112245442108.0
RELX,2017Q3,
RELX,2017Q4,
RELX,2018Q1,
RELX,2018Q2,
RELX,2018Q3,
RELX,2018Q4,
RELX,2019Q1,
RELX,2019Q2,
RELX,2019Q3,
RELX,2019Q4,
RELX,2020Q1,
RELX,2020Q2,
RELX,2020Q3,
RELX,2020Q4,
RELX,2021Q1,
RELX,2021Q2,
RELX,2021Q3,
RELX,2021Q4,
RELX,2022Q1,
RELX,2022Q2,
RELX,2022Q3,
RELX,2022Q4,
RELX,2023Q1,
RELX,2023Q2,
RELX,2023Q3,
RELX,2023Q4,6342000000.0
RELX,2024Q1,78427143057.96826
RELX,2024Q2,90945627733.125
RELX,2024Q3,87516890727.66406
RELX,2024Q4,89567121864.31836
RELX,2025Q1,91577710815.69336
RELX,2025Q2,106313756772.46094
RELX,2025Q3,88131801321.57806
